",""nwspol"",""polintr"",""vote"",""yrbrn"",""trstlgl"",""trstplc"",""trstplt"",""trstprt"",""trstep"""
"309,10,""Hardly interested"",""Not eligible to vote"",2001,""6"",""8"",""8"",""7"",""6"""
"310,180,""Quite interested"",""Yes"",1958,""8"",""9"",""6"",""6"",""7"""
"311,5,""Hardly interested"",""Yes"",1989,""5"",""7"",""2"",""2"",NA"
"312,60,""Hardly interested"",""Yes"",1964,""9"",""9"",""8"",""8"",""7"""
"313,10,""Hardly interested"",""Yes"",1998,""4"",""4"",""3"",""5"",""5"""
"314,180,""Very interested"",""Yes"",1957,""Complete trust"",""Complete trust"",""8"",""7"",""7"""
"315,45,""Hardly interested"",""Not eligible to vote"",2003,""8"",""9"",""9"",""8"",""7"""
"316,5,""Hardly interested"",""No"",1979,""8"",""8"",""3"",""3"",""5"""
"317,10,""Hardly interested"",""Yes"",1997,""7"",""8"",""7"",""7"",""7"""
"318,120,""Hardly interested"",""Yes"",1964,""9"",""9"",""6"",""6"",""5"""
"319,30,""Quite interested"",""Yes"",1987,""9"",""9"",""7"",""7"",""7"""
"320,60,""Very interested"",""Yes"",1980,""9"",""8"",""7"",""7"",""6"""
"321,150,""Quite interested"",""Yes"",1957,""5"",""5"",""3"",""5"",""5"""
"322,75,""Hardly interested"",""No"",1980,""3"",""3"",""2"",""2"",""2"""
"323,30,""Hardly interested"",""Yes"",1957,""9"",""9"",""7"",""5"",""6"""
"324,60,""Quite interested"",""Yes"",1957,""7"",""9"",""8"",""7"",""7"""
"325,90,""Quite interested"",""Yes"",1956,""9"",""9"",""4"",""4"",""2"""
"326,30,""Hardly interested"",""Yes"",1994,""7"",""3"",""3"",""5"",""6"""
"327,120,""Quite interested"",""Yes"",1996,""3"",""7"",""6"",""7"",""5"""
"328,30,""Hardly interested"",""Yes"",1989,""8"",""4"",""4"",""4"",""7"""
"329,60,""Hardly interested"",""Yes"",1992,""7"",""7"",""5"",""4"",NA"
"330,1010,""Hardly interested"",""Yes"",1973,""7"",""8"",""4"",""5"",""5"""
"331,60,""Hardly interested"",""Yes"",1995,""6"",""6"",""3"",""4"",""5"""
"332,30,""Quite interested"",""No"",1984,""Complete trust"",""Complete trust"",""6"",""5"",NA"
"333,60,""Quite interested"",""Yes"",1956,""8"",""8"",""4"",""4"",NA"
"334,90,""Hardly interested"",""Yes"",1956,""5"",""6"",""4"",""7"",""7"""
"335,60,""Quite interested"",""Yes"",1983,""9"",""7"",""7"",""9"",""5"""
"336,120,""Very interested"",""Yes"",1972,""1"",""2"",""5"",""6"",""4"""
"337,60,""Hardly interested"",""Yes"",1976,""8"",""8"",""7"",""8"",""5"""
"338,10,""Hardly interested"",""Yes"",1983,""6"",""5"",""5"",""5"",""7"""
"339,45,""Quite interested"",""Yes"",1965,""9"",""9"",""7"",""7"",""7"""
"340,60,""Quite interested"",""Yes"",1953,""9"",""9"",""3"",""4"",""4"""
"341,120,""Hardly interested"",""Yes"",1951,""4"",""4"",""4"",""6"",""4"""
"342,60,""Quite interested"",""Yes"",1949,""Complete trust"",""Complete trust"",""8"",""8"",""7"""
"343,120,""Quite interested"",""Yes"",1972,""8"",""8"",""6"",""6"",""7"""
"344,120,""Quite interested"",""Yes"",1974,""7"",""7"",""7"",""6"",""5"""
"345,60,""Very interested"",""Yes"",1956,""8"",""8"",""5"",""6"",NA"
"346,45,""Quite interested"",""Yes"",1969,""8"",""6"",""5"",""6"",""6"""
"347,30,""Quite interested"",""Yes"",1966,""7"",""8"",""1"",""1"",NA"
"348,240,""Very interested"",""Yes"",1970,""8"",""6"",""7"",""7"",""6"""
"349,15,""Hardly interested"",""Yes"",1976,""7"",""8"",""5"",""6"",NA"
"350,30,""Hardly interested"",""Yes"",1961,""9"",""9"",""7"",""7"",""8"""
"351,15,""Quite interested"",""Yes"",1982,""7"",""6"",""5"",""4"",""6"""
"352,15,""Quite interested"",""Yes"",1970,""9"",""9"",""7"",""7"",NA"
"353,30,""Hardly interested"",""No"",1944,""8"",""8"",""8"",""8"",""8"""
"354,90,""Quite interested"",""Yes"",1986,""8"",""8"",""3"",""3"",""5"""
"355,15,""Hardly interested"",""Yes"",1955,""7"",""5"",""4"",""8"",""5"""
"356,15,""Not at all interested"",""Yes"",1996,""8"",""6"",""3"",""5"",""5"""
"357,30,""Quite interested"",""Yes"",1959,""9"",""9"",""5"",""6"",""5"""
"358,60,""Hardly interested"",""Yes"",1958,""4"",""4"",""3"",""3"",""2"""
"359,60,""Hardly interested"",""Yes"",1952,""No trust at all"",""2"",""No trust at all"",""No trust at all"",""No trust at all"""
"360,NA,""Very interested"",""Yes"",1966,""5"",""8"",""No trust at all"",""No trust at all"",""2"""
"361,20,""Hardly interested"",""Yes"",1962,""8"",""5"",""5"",""6"",NA"
"362,75,""Quite interested"",""Yes"",1996,""6"",""8"",""3"",""3"",""5"""
"363,120,""Quite interested"",""Yes"",1952,""2"",""3"",""2"",""2"",NA"
"364,10,""Hardly interested"",""Yes"",1965,""5"",""6"",""3"",""3"",""5"""
"365,15,""Not at all interested"",""No"",1996,""3"",""3"",""5"",""3"",""5"""
"366,784,""Very interested"",""Yes"",1956,""9"",""9"",""6"",""6"",NA"
"367,30,""Not at all interested"",""Yes"",1980,""8"",""8"",""7"",""8"",""Complete trust"""
"368,NA,""Very interested"",""Yes"",1961,""6"",""6"",""5"",""5"",""7"""
"369,20,""Hardly interested"",""Yes"",1966,""9"",""3"",""4"",""6"",""4"""
"370,90,""Hardly interested"",""Yes"",1995,""7"",""8"",""6"",""6"",""7"""
"371,45,""Quite interested"",""Not eligible to vote"",1983,""5"",""4"",""3"",""4"",""2"""
"372,15,""Not at all interested"",""Yes"",1968,""6"",""6"",""2"",""4"",""3"""
"373,10,""Hardly interested"",""No"",1981,""8"",""7"",""7"",""7"",""9"""
"374,120,""Quite interested"",""Yes"",1937,""5"",""8"",""2"",""9"",""6"""
"375,150,""Hardly interested"",""Yes"",1997,""Complete trust"",""Complete trust"",""7"",""7"",""Complete trust"""
"376,180,""Hardly interested"",""Yes"",1951,""8"",""8"",""6"",""7"",""6"""
"377,30,""Hardly interested"",""Yes"",1996,""Complete trust"",""Complete trust"",""5"",""5"",NA"
"378,0,""Not at all interested"",""Not eligible to vote"",1962,""5"",""5"",""5"",""4"",""5"""
"379,60,""Quite interested"",""No"",2000,""Complete trust"",""Complete trust"",""9"",""Complete trust"",""Complete trust"""
"380,60,""Hardly interested"",""Yes"",1988,""8"",""6"",""No trust at all"",""6"",""8"""
"381,755,""Quite interested"",""Yes"",1964,""9"",""9"",""7"",""6"",""5"""
"382,180,""Quite interested"",""Yes"",1928,""7"",""7"",""5"",""4"",""6"""
"383,60,""Hardly interested"",""No"",1984,""8"",""8"",""6"",""5"",""7"""
"384,360,""Very interested"",""Yes"",1953,""9"",""5"",""3"",""4"",""7"""
"385,45,""Hardly interested"",""Yes"",1982,""8"",""8"",""5"",""5"",NA"
"386,300,""Hardly interested"",""Yes"",1992,""7"",""8"",""5"",""5"",""5"""
"387,90,""Hardly interested"",""Yes"",1968,""9"",""9"",""4"",""4"",""4"""
"388,15,""Quite interested"",""Yes"",1992,""9"",""9"",""7"",""7"",""7"""
"389,30,""Hardly interested"",""Yes"",1958,""6"",""6"",""6"",""7"",""6"""
"390,60,""Quite interested"",""Yes"",1985,""8"",""Complete trust"",""5"",""5"",NA"
"391,30,""Very interested"",""Yes"",1958,""6"",""7"",""2"",""2"",""2"""
"392,10,""Hardly interested"",""No"",1992,""3"",""6"",""4"",""4"",""3"""
"393,NA,""Not at all interested"",""Yes"",NA,""9"",""9"",""5"",""7"",NA"
"394,40,""Quite interested"",""Yes"",1995,""7"",""7"",""6"",""6"",""6"""
"395,30,""Quite interested"",""Yes"",1955,""8"",""9"",""5"",""5"",""6"""
"396,120,""Quite interested"",""No"",2001,""9"",""8"",""7"",""7"",""6"""
"397,30,""Hardly interested"",""Yes"",1989,""9"",""8"",""7"",""7"",""6"""
"398,60,""Quite interested"",""Yes"",1959,""Complete trust"",""Complete trust"",""5"",""7"",""3"""
"399,120,""Not at all interested"",""Yes"",1928,""9"",""Complete trust"",""8"",""5"",NA"
"400,60,""Hardly interested"",""Not eligible to vote"",1978,NA,NA,NA,""8"",""7"""
"401,NA,""Hardly interested"",""Yes"",1991,""Complete trust"",""Complete trust"",""7"",""7"",NA"
"402,30,""Not at all interested"",""Not eligible to vote"",1986,""4"",""7"",""4"",""4"",""6"""
"403,5,""Not at all interested"",""Yes"",1983,""6"",""6"",""4"",""4"",""5"""
"404,20,""Hardly interested"",""Yes"",1977,NA,""Complete trust"",""7"",""7"",""7"""
"405,30,""Quite interested"",""Yes"",1984,""8"",""7"",""5"",""5"",""2"""
"406,15,""Hardly interested"",""Yes"",1970,""9"",""8"",""8"",""8"",""8"""
"407,120,""Quite interested"",""Yes"",1956,""7"",""7"",""4"",""4"",""4"""
"408,NA,""Hardly interested"",""No"",1993,""Complete trust"",""Complete trust"",""9"",""9"",""5"""
"409,180,""Hardly interested"",""Yes"",1940,""8"",""8"",""7"",""5"",""6"""
"410,120,""Quite interested"",""Yes"",1959,""9"",""Complete trust"",""8"",""7"",""6"""
"411,60,""Quite interested"",""Yes"",1946,""6"",""8"",""6"",""7"",""8"""
"412,30,""Very interested"",""Yes"",1961,""7"",""7"",""5"",""5"",""6"""
"413,1,""Hardly interested"",""Yes"",1990,""8"",""Complete trust"",""7"",""7"",NA"
"414,10,""Hardly interested"",""Yes"",1986,""8"",""7"",""6"",""6"",""5"""
"415,45,""Quite interested"",""Yes"",1957,""6"",""5"",""5"",""5"",""5"""
"416,844,""Quite interested"",""Not eligible to vote"",1944,""9"",""8"",""4"",""4"",""3"""
"417,NA,""Hardly interested"",""Yes"",1972,""4"",""5"",""2"",""2"",""3"""
"418,30,""Hardly interested"",""Not eligible to vote"",1989,""7"",""9"",""8"",""5"",""7"""
"419,90,""Hardly interested"",""Yes"",1986,""6"",""6"",""3"",""5"",""5"""
"420,60,""Not at all interested"",""Yes"",1977,""9"",""8"",""7"",""7"",""7"""
"421,30,""Hardly interested"",""Yes"",1978,""9"",""9"",""3"",""6"",""5"""
"422,120,""Hardly interested"",""Not eligible to vote"",2002,""6"",""8"",""5"",""5"",""7"""
"423,120,""Quite interested"",""Yes"",1943,""5"",""6"",""2"",""5"",""5"""
"424,30,""Hardly interested"",""Yes"",1989,""4"",""4"",""5"",""5"",""5"""
"425,420,""Quite interested"",""Yes"",1995,""7"",""Complete trust"",""7"",""6"",""7"""
"426,120,""Very interested"",""Yes"",1977,""Complete trust"",""9"",""6"",""6"",""5"""
"427,30,""Hardly interested"",""Yes"",1968,""8"",""8"",""6"",""6"",""5"""
"428,10,""Hardly interested"",""Not eligible to vote"",2003,NA,""8"",""6"",""7"",NA"
"429,747,""Quite interested"",""Yes"",1986,""9"",""8"",""7"",""7"",""7"""
"430,30,""Hardly interested"",""No"",1980,""8"",""8"",""7"",""7"",""6"""
"431,270,""Very interested"",""Yes"",1950,""8"",""6"",""4"",""4"",""5"""
"432,180,""Hardly interested"",""Yes"",1944,""9"",""9"",""7"",""6"",""4"""
"433,10,""Not at all interested"",""Yes"",1975,""5"",""5"",""No trust at all"",""No trust at all"",""No trust at all"""
"434,60,""Very interested"",""Yes"",1966,""8"",""8"",""5"",""5"",""5"""
"435,60,""Hardly interested"",""Yes"",1976,""8"",""8"",""6"",""6"",""5"""
"436,10,""Hardly interested"",""Yes"",1976,""7"",""7"",""2"",""2"",""5"""
"437,30,""Not at all interested"",""Yes"",1948,""3"",""4"",""1"",""1"",""No trust at all"""
"438,30,""Hardly interested"",""Yes"",1999,""7"",""6"",""6"",""7"",""9"""
"439,120,""Very interested"",""Yes"",1952,""9"",""9"",""6"",""7"",""1"""
"440,60,""Hardly interested"",""Yes"",1951,""8"",""7"",""4"",""4"",""5"""
"441,180,""Very interested"",""Yes"",1947,""8"",""7"",""6"",""6"",""7"""
"442,150,""Quite interested"",""Yes"",1947,""5"",""5"",""5"",""5"",""4"""
"443,90,""Hardly interested"",""Yes"",1959,""7"",""6"",""6"",""6"",""4"""
"444,30,""Not at all interested"",""No"",1991,""1"",""1"",""1"",""1"",""1"""
"445,995,""Quite interested"",""No"",1975,""Complete trust"",""Complete trust"",""3"",""3"",""5"""
"446,30,""Hardly interested"",""Not eligible to vote"",2003,""8"",""9"",""8"",""8"",NA"
"447,30,""Hardly interested"",""Yes"",1982,""8"",""9"",""4"",""5"",""6"""
"448,785,""Hardly interested"",""Not eligible to vote"",1986,""5"",""6"",""4"",""4"",""4"""
"449,120,""Quite interested"",""Yes"",1947,""7"",""9"",""6"",""6"",""5"""
"450,90,""Hardly interested"",""Yes"",1997,""9"",""9"",""5"",""5"",""5"""
"451,20,""Hardly interested"",""Yes"",1979,""7"",""5"",""5"",""5"",""6"""
"452,20,""Hardly interested"",""No"",1993,""4"",""No trust at all"",""No trust at all"",""3"",""No trust at all"""
"453,60,""Hardly interested"",""Yes"",1988,""7"",""7"",""5"",""6"",""6"""
"454,60,""Quite interested"",""Yes"",1976,""9"",""9"",""6"",""6"",""5"""
"455,60,""Quite interested"",""Yes"",1949,""9"",""6"",""5"",""5"",""5"""
"456,13,""Hardly interested"",""Yes"",1992,""5"",""8"",""2"",""2"",""5"""
"457,NA,""Quite interested"",""Yes"",1948,""7"",""7"",""3"",""4"",""4"""
"458,10,""Hardly interested"",""Not eligible to vote"",2000,""Complete trust"",""Complete trust"",""9"",""9"",""Complete trust"""
"459,90,""Very interested"",""Yes"",1983,""7"",""5"",""4"",""4"",""5"""
"460,120,""Quite interested"",""Yes"",1962,""7"",""7"",""4"",""2"",""No trust at all"""
"461,1003,""Quite interested"",""Yes"",1987,""7"",""6"",""4"",""4"",""8"""
"462,30,""Hardly interested"",""Yes"",1962,""8"",""8"",""7"",""7"",""7"""
"463,90,""Quite interested"",""Not eligible to vote"",NA,""Complete trust"",""Complete trust"",""7"",""6"",""8"""
"464,120,""Quite interested"",""Yes"",1957,""Complete trust"",""6"",""6"",""7"",""7"""
"465,60,""Hardly interested"",""Yes"",1984,""6"",""7"",""4"",""4"",""5"""
"466,90,""Quite interested"",""Yes"",1971,""Complete trust"",""Complete trust"",""5"",""6"",NA"
"467,60,""Hardly interested"",""Yes"",1961,""3"",""5"",""1"",""3"",""5"""
"468,60,""Very interested"",""Yes"",1972,""1"",""No trust at all"",""No trust at all"",""1"",""1"""
"469,15,""Quite interested"",""Yes"",1955,""8"",""9"",""8"",""8"",""5"""
"470,60,""Not at all interested"",""Not eligible to vote"",1956,""7"",""7"",""5"",""5"",""3"""
"471,120,""Quite interested"",""No"",1944,""8"",""7"",""7"",""7"",""7"""
"472,45,""Hardly interested"",""Yes"",1980,""9"",""9"",""6"",""6"",""6"""
"473,60,""Hardly interested"",""Yes"",1991,""3"",""3"",""No trust at all"",""No trust at all"",NA"
"474,90,""Very interested"",""Yes"",1949,""Complete trust"",""Complete trust"",""7"",""7"",""5"""
"475,30,""Hardly interested"",""Not eligible to vote"",2000,""8"",""9"",""7"",""5"",""7"""
"476,90,""Hardly interested"",""Yes"",1939,""7"",""Complete trust"",""7"",""7"",""7"""
"477,120,""Quite interested"",""Yes"",1957,""7"",""7"",""4"",""3"",""5"""
"478,120,""Quite interested"",""Yes"",1967,""Complete trust"",""9"",""8"",""6"",""7"""
"479,60,""Quite interested"",""Yes"",1947,""Complete trust"",""9"",""8"",""8"",""8"""
"480,240,""Very interested"",""Yes"",1975,""7"",""7"",""6"",""6"",""6"""
"481,60,""Quite interested"",""Yes"",1972,""8"",""8"",""5"",""6"",""5"""
"482,80,""Quite interested"",""Yes"",1947,""9"",""8"",""6"",""6"",NA"
"483,30,""Hardly interested"",""No"",1970,""6"",""6"",""5"",""5"",""8"""
"484,60,""Quite interested"",""Not eligible to vote"",2003,""7"",""6"",""5"",""5"",""6"""
"485,120,""Quite interested"",""Yes"",1955,""8"",""9"",""7"",""6"",""5"""
"486,0,""Not at all interested"",""Yes"",1976,""2"",""No trust at all"",""6"",""5"",NA"
"487,120,""Hardly interested"",""Yes"",1967,""8"",""9"",""7"",""7"",""7"""
"488,40,""Hardly interested"",""Yes"",1959,""8"",""8"",""6"",""5"",""5"""
"489,120,""Very interested"",""Yes"",1969,""8"",""9"",""6"",""6"",""7"""
"490,30,""Not at all interested"",""Yes"",1975,""2"",""1"",""1"",""1"",NA"
"491,480,""Quite interested"",""Yes"",1995,""9"",""9"",""7"",""6"",""6"""
"492,150,""Very interested"",""Yes"",NA,""7"",""7"",""5"",""6"",NA"
"493,60,""Quite interested"",""Yes"",1952,""Complete trust"",""9"",""7"",""7"",""6"""
"494,30,""Hardly interested"",""Yes"",1983,""7"",""6"",""3"",""8"",""No trust at all"""
"495,40,""Hardly interested"",""Yes"",1999,""8"",""Complete trust"",""5"",""5"",NA"
"496,5,""Hardly interested"",""Not eligible to vote"",2003,""9"",""6"",""6"",""5"",NA"
"497,30,""Quite interested"",""Not eligible to vote"",2002,""9"",""9"",""6"",""6"",NA"
"498,60,""Quite interested"",""Yes"",1958,""Complete trust"",""8"",""6"",""5"",""5"""
"499,5,""Hardly interested"",""Yes"",1994,""9"",""9"",""7"",""7"",NA"
"500,60,""Hardly interested"",""Yes"",1997,""9"",""Complete trust"",""9"",""9"",""6"""
"501,60,""Quite interested"",""Yes"",1979,""7"",""8"",""6"",""8"",""7"""
"502,60,""Quite interested"",""Yes"",1982,""8"",""7"",""8"",""8"",""7"""
"503,120,""Quite interested"",""Yes"",1944,""8"",""8"",""6"",""5"",""5"""
"504,15,""Quite interested"",""Yes"",1979,""7"",""8"",""4"",""5"",""7"""
"505,360,""Hardly interested"",""Yes"",1965,""5"",""8"",""5"",""5"",NA"
"506,150,""Quite interested"",""Yes"",1955,""9"",""9"",""7"",""8"",""4"""
"507,60,""Quite interested"",""No"",1966,""8"",""8"",""5"",""5"",""1"""
"508,10,""Hardly interested"",""Not eligible to vote"",2003,""7"",""7"",""6"",""6"",NA"
"509,15,""Hardly interested"",""Yes"",1972,""Complete trust"",""Complete trust"",""6"",""5"",""8"""
"510,30,""Hardly interested"",""No"",1984,""7"",""7"",""5"",""5"",""3"""
"511,60,""Quite interested"",""No"",1938,""7"",""8"",""4"",""4"",""3"""
"512,60,""Hardly interested"",""Yes"",1966,""7"",""5"",""5"",""5"",""6"""
"513,45,""Hardly interested"",""Yes"",1969,""9"",""Complete trust"",""6"",""5"",""5"""
"514,60,""Hardly interested"",""Yes"",1995,""8"",""Complete trust"",""8"",""6"",""8"""
"515,30,""Hardly interested"",""No"",1952,""Complete trust"",""8"",""5"",""5"",""5"""
"516,120,""Very interested"",""Yes"",1964,""8"",""7"",""6"",""6"",""5"""
"517,60,""Quite interested"",""Yes"",1965,""9"",""6"",""5"",""5"",""8"""
"518,90,""Quite interested"",""Yes"",1960,""Complete trust"",""Complete trust"",""8"",""8"",""6"""
"519,15,""Quite interested"",""Yes"",1983,""8"",""7"",""6"",""7"",""6"""
"520,30,""Hardly interested"",""Yes"",1970,""8"",""9"",""7"",""7"",""7"""
"521,130,""Quite interested"",""Yes"",1960,""8"",""8"",""6"",""6"",""6"""
"522,270,""Very interested"",""Yes"",1941,""8"",""6"",""5"",""5"",""5"""
"523,300,""Very interested"",""Yes"",1933,""7"",""9"",""3"",""4"",NA"
"524,180,""Hardly interested"",""Yes"",1997,""Complete trust"",""Complete trust"",""9"",""9"",""9"""
"525,30,""Hardly interested"",""No"",1996,""8"",""9"",""7"",""7"",NA"
"526,0,""Hardly interested"",""Yes"",1997,""9"",""9"",""8"",""9"",""8"""
"527,60,""Hardly interested"",""No"",2003,""8"",""9"",""7"",""7"",NA"
"528,60,""Quite interested"",""Yes"",1992,""8"",""Complete trust"",""5"",""7"",""6"""
"529,15,""Quite interested"",""Yes"",1971,""8"",""8"",""6"",""7"",NA"
"530,60,""Hardly interested"",""Yes"",1985,""8"",""Complete trust"",""5"",""6"",""5"""
"531,0,""Hardly interested"",""Yes"",1989,""3"",""3"",""2"",""2"",""3"""
"532,180,""Quite interested"",""Yes"",1953,""8"",""8"",""7"",""7"",""6"""
"533,120,""Very interested"",""Yes"",1993,""5"",""6"",""9"",""4"",""7"""
"534,10,""Hardly interested"",""Yes"",1962,""8"",""9"",""7"",""7"",""4"""
"535,120,""Not at all interested"",""No"",1978,""7"",""7"",""4"",""3"",""4"""
"536,45,""Hardly interested"",""Yes"",1988,""8"",""9"",""6"",""5"",""4"""
"537,60,""Quite interested"",""Yes"",1987,""8"",""6"",""5"",""6"",NA"
"538,10,""Hardly interested"",""Yes"",1958,""8"",""8"",""5"",""6"",""5"""
"539,30,""Not at all interested"",""No"",1983,""Complete trust"",""9"",""4"",""4"",""7"""
"540,NA,""Quite interested"",""Yes"",1972,""8"",""8"",""6"",""5"",NA"
"541,30,""Quite interested"",""Yes"",1990,""6"",""4"",""6"",""6"",""2"""
"542,120,""Quite interested"",""Yes"",1990,""Complete trust"",""Complete trust"",""7"",""5"",""8"""
"543,120,""Quite interested"",""Yes"",1966,""8"",""8"",""7"",""7"",NA"
"544,90,""Hardly interested"",""Yes"",NA,""9"",""8"",""4"",""4"",NA"
"545,5,""Hardly interested"",""Yes"",1981,""8"",""8"",""7"",""8"",""5"""
"546,10,""Hardly interested"",""Not eligible to vote"",2000,""8"",""9"",""5"",""4"",""8"""
"547,30,""Hardly interested"",""Yes"",NA,""9"",""9"",""7"",""7"",""6"""
"548,60,""Very interested"",""Not eligible to vote"",1985,""6"",""Complete trust"",""Complete trust"",""Complete trust"",""6"""
"549,180,""Hardly interested"",""Yes"",1946,""Complete trust"",""9"",""6"",""7"",""7"""
"550,15,""Quite interested"",""Yes"",1959,""5"",""6"",""7"",""4"",""7"""
"551,120,""Hardly interested"",""Yes"",1973,""8"",""Complete trust"",""5"",""5"",""5"""
"552,15,""Quite interested"",""Yes"",1987,""7"",""8"",""1"",""2"",""2"""
"553,20,""Hardly interested"",""No"",1994,""8"",""8"",""6"",""6"",NA"
"554,60,""Hardly interested"",""Yes"",1985,""Complete trust"",""Complete trust"",""7"",""7"",NA"
"555,45,""Quite interested"",""Yes"",1961,""9"",""8"",""6"",""6"",""7"""
"556,20,""Hardly interested"",""Yes"",1963,""5"",""5"",""5"",""5"",""7"""
"557,60,""Hardly interested"",""Yes"",1987,""7"",""7"",""5"",""5"",""2"""
"558,614,""Quite interested"",""Yes"",1975,""8"",""8"",""6"",""6"",""7"""
"559,360,""Quite interested"",""Yes"",1939,""8"",""8"",""6"",""6"",""8"""
"560,0,""Hardly interested"",""Yes"",2002,""3"",""5"",""5"",""5"",NA"
"561,60,""Hardly interested"",""Yes"",1996,""7"",""6"",""5"",""6"",""5"""
"562,90,""Quite interested"",""Yes"",1947,""8"",""8"",""6"",""6"",""6"""
"563,30,""Hardly interested"",""Yes"",1951,""7"",""7"",""5"",""6"",""2"""
"564,10,""Hardly interested"",""Not eligible to vote"",2000,""7"",""8"",""6"",""6"",""7"""
"565,5,""Hardly interested"",""Yes"",1979,""7"",""7"",""7"",""6"",NA"
"566,30,""Hardly interested"",""Yes"",1953,""7"",""7"",""2"",""2"",""2"""
"567,60,""Quite interested"",""Yes"",NA,""6"",""4"",""5"",""6"",""6"""
"568,300,""Very interested"",""Yes"",1932,""8"",""7"",""8"",""7"",""7"""
"569,180,""Quite interested"",""Yes"",1947,""8"",""8"",""7"",""7"",""7"""
"570,15,""Hardly interested"",""Yes"",1963,""7"",""7"",""2"",""2"",""1"""
"571,180,""Very interested"",""Yes"",1940,""7"",""7"",""5"",""5"",""2"""
"572,975,""Quite interested"",""Not eligible to vote"",2000,""5"",""5"",""4"",""5"",""5"""
"573,20,""Hardly interested"",""Yes"",1976,""8"",""9"",""5"",""5"",NA"
"574,20,""Hardly interested"",""Not eligible to vote"",2001,""7"",""9"",""7"",""6"",""7"""
"575,90,""Hardly interested"",""Yes"",1989,""6"",""7"",""3"",""3"",""5"""
"576,90,""Very interested"",""Yes"",1983,""9"",""7"",""6"",""7"",""3"""
"577,60,""Quite interested"",""Yes"",1974,""9"",""9"",""8"",""7"",NA"
"578,20,""Quite interested"",""Yes"",1986,""9"",""9"",""8"",""8"",""8"""
"579,NA,""Hardly interested"",""Not eligible to vote"",1976,""6"",""7"",""4"",""4"",""3"""
"580,30,""Hardly interested"",""Yes"",1991,""Complete trust"",""8"",""8"",""9"",NA"
"581,30,""Hardly interested"",""Yes"",1969,""8"",""8"",""4"",""4"",""3"""
"582,15,""Hardly interested"",""Not eligible to vote"",1973,NA,""7"",""7"",""8"",""4"""
"583,30,""Quite interested"",""Not eligible to vote"",1953,""8"",""Complete trust"",""8"",""8"",""8"""
"584,60,""Hardly interested"",""Yes"",1984,""Complete trust"",""Complete trust"",""8"",""8"",""9"""
"585,300,""Quite interested"",""Yes"",1954,""Complete trust"",""Complete trust"",""9"",""Complete trust"",NA"
"586,45,""Hardly interested"",""Yes"",1954,""8"",""6"",""6"",""5"",""5"""
"587,30,""Hardly interested"",""Yes"",1945,""3"",""4"",""No trust at all"",""3"",NA"
"588,30,""Quite interested"",""No"",1998,""8"",""8"",""4"",""4"",NA"
"589,20,""Hardly interested"",""Yes"",1956,""8"",""8"",""6"",""5"",""5"""
"590,90,""Quite interested"",""Yes"",1954,""9"",""7"",""7"",""7"",NA"
"591,30,""Hardly interested"",""No"",1982,""8"",""6"",""3"",""3"",NA"
"592,120,""Very interested"",""Yes"",1948,""9"",""8"",""6"",""6"",NA"
"593,180,""Very interested"",""Yes"",1957,""8"",""7"",""6"",""5"",""6"""
"594,60,""Hardly interested"",""Yes"",1952,""5"",""5"",""1"",""1"",""2"""
"595,120,""Quite interested"",""Yes"",1953,""9"",""6"",""3"",""3"",""5"""
"596,30,""Quite interested"",""Yes"",1979,""8"",""8"",""7"",""7"",""6"""
"597,180,""Quite interested"",""Not eligible to vote"",2002,""3"",""3"",""2"",""3"",""3"""
"598,120,""Hardly interested"",""Yes"",1988,""9"",""9"",""6"",""6"",""6"""
"599,60,""Quite interested"",""Yes"",1972,""8"",""5"",""2"",""8"",NA"
"600,120,""Quite interested"",""Yes"",1944,""5"",""6"",""5"",""5"",""5"""
"601,15,""Very interested"",""No"",1963,""8"",""9"",""5"",""4"",""5"""
"602,15,""Hardly interested"",""Yes"",1961,""3"",""3"",""3"",""3"",""1"""
"603,5,""Hardly interested"",""Not eligible to vote"",2002,""8"",""8"",""7"",""7"",NA"
"604,45,""Hardly interested"",""Yes"",1966,""7"",""Complete trust"",""8"",""Complete trust"",NA"
"605,40,""Hardly interested"",""Yes"",1965,""Complete trust"",""Complete trust"",""9"",""8"",""8"""
"606,120,""Hardly interested"",""No"",1979,""3"",""2"",""2"",""2"",NA"
"607,120,""Quite interested"",""Yes"",1974,""9"",""9"",""7"",""7"",NA"
"608,120,""Quite interested"",""Yes"",1964,""8"",""8"",""7"",""7"",""5"""
"609,15,""Quite interested"",""Yes"",1960,""5"",""7"",""No trust at all"",""1"",""3"""
"610,60,""Hardly interested"",""Yes"",1969,""9"",""9"",""3"",""3"",""7"""
"611,60,""Hardly interested"",""No"",1993,""Complete trust"",""Complete trust"",""8"",""8"",NA"
"612,120,""Hardly interested"",""Yes"",1957,""2"",""1"",""1"",""2"",NA"
"613,60,""Quite interested"",""Yes"",1960,""5"",""7"",""4"",""3"",""5"""
"614,60,""Quite interested"",""Yes"",1942,""5"",""7"",""2"",""2"",""3"""
"615,120,""Quite interested"",""Yes"",1952,""9"",""8"",""6"",""5"",""5"""
"616,10,""Quite interested"",""Yes"",1995,""9"",""Complete trust"",""4"",""4"",""6"""
"617,90,""Quite interested"",""Yes"",1987,""7"",""9"",""6"",""8"",NA"
"618,5,""Quite interested"",""Yes"",1989,""Complete trust"",""9"",""3"",""3"",""7"""
