nwspol,polintr,vote,yrbrn,trstlgl,trstplc,trstplt,trstprt,trstep
60,Hardly interested,Yes,1995,8,Complete trust,8,6,8
30,Hardly interested,No,1952,Complete trust,8,5,5,5
120,Very interested,Yes,1964,8,7,6,6,5
60,Quite interested,Yes,1965,9,6,5,5,8
90,Quite interested,Yes,1960,Complete trust,Complete trust,8,8,6
15,Quite interested,Yes,1983,8,7,6,7,6
30,Hardly interested,Yes,1970,8,9,7,7,7
130,Quite interested,Yes,1960,8,8,6,6,6
270,Very interested,Yes,1941,8,6,5,5,5
300,Very interested,Yes,1933,7,9,3,4,NA
180,Hardly interested,Yes,1997,Complete trust,Complete trust,9,9,9
30,Hardly interested,No,1996,8,9,7,7,NA
0,Hardly interested,Yes,1997,9,9,8,9,8
60,Hardly interested,No,2003,8,9,7,7,NA
60,Quite interested,Yes,1992,8,Complete trust,5,7,6
15,Quite interested,Yes,1971,8,8,6,7,NA
60,Hardly interested,Yes,1985,8,Complete trust,5,6,5
0,Hardly interested,Yes,1989,3,3,2,2,3
180,Quite interested,Yes,1953,8,8,7,7,6
120,Very interested,Yes,1993,5,6,9,4,7
10,Hardly interested,Yes,1962,8,9,7,7,4
120,Not at all interested,No,1978,7,7,4,3,4
45,Hardly interested,Yes,1988,8,9,6,5,4
60,Quite interested,Yes,1987,8,6,5,6,NA
10,Hardly interested,Yes,1958,8,8,5,6,5
30,Not at all interested,No,1983,Complete trust,9,4,4,7
NA,Quite interested,Yes,1972,8,8,6,5,NA
30,Quite interested,Yes,1990,6,4,6,6,2
120,Quite interested,Yes,1990,Complete trust,Complete trust,7,5,8
120,Quite interested,Yes,1966,8,8,7,7,NA
90,Hardly interested,Yes,NA,9,8,4,4,NA
5,Hardly interested,Yes,1981,8,8,7,8,5
10,Hardly interested,Not eligible to vote,2000,8,9,5,4,8
30,Hardly interested,Yes,NA,9,9,7,7,6
60,Very interested,Not eligible to vote,1985,6,Complete trust,Complete trust,Complete trust,6
180,Hardly interested,Yes,1946,Complete trust,9,6,7,7
15,Quite interested,Yes,1959,5,6,7,4,7
120,Hardly interested,Yes,1973,8,Complete trust,5,5,5
15,Quite interested,Yes,1987,7,8,1,2,2
20,Hardly interested,No,1994,8,8,6,6,NA
60,Hardly interested,Yes,1985,Complete trust,Complete trust,7,7,NA
45,Quite interested,Yes,1961,9,8,6,6,7
20,Hardly interested,Yes,1963,5,5,5,5,7
60,Hardly interested,Yes,1987,7,7,5,5,2
614,Quite interested,Yes,1975,8,8,6,6,7
360,Quite interested,Yes,1939,8,8,6,6,8
0,Hardly interested,Yes,2002,3,5,5,5,NA
60,Hardly interested,Yes,1996,7,6,5,6,5
90,Quite interested,Yes,1947,8,8,6,6,6
30,Hardly interested,Yes,1951,7,7,5,6,2
10,Hardly interested,Not eligible to vote,2000,7,8,6,6,7
5,Hardly interested,Yes,1979,7,7,7,6,NA
30,Hardly interested,Yes,1953,7,7,2,2,2
60,Quite interested,Yes,NA,6,4,5,6,6
300,Very interested,Yes,1932,8,7,8,7,7
180,Quite interested,Yes,1947,8,8,7,7,7
15,Hardly interested,Yes,1963,7,7,2,2,1
180,Very interested,Yes,1940,7,7,5,5,2
975,Quite interested,Not eligible to vote,2000,5,5,4,5,5
20,Hardly interested,Yes,1976,8,9,5,5,NA
20,Hardly interested,Not eligible to vote,2001,7,9,7,6,7
90,Hardly interested,Yes,1989,6,7,3,3,5
90,Very interested,Yes,1983,9,7,6,7,3
60,Quite interested,Yes,1974,9,9,8,7,NA
20,Quite interested,Yes,1986,9,9,8,8,8
NA,Hardly interested,Not eligible to vote,1976,6,7,4,4,3
30,Hardly interested,Yes,1991,Complete trust,8,8,9,NA
30,Hardly interested,Yes,1969,8,8,4,4,3
15,Hardly interested,Not eligible to vote,1973,NA,7,7,8,4
30,Quite interested,Not eligible to vote,1953,8,Complete trust,8,8,8
60,Hardly interested,Yes,1984,Complete trust,Complete trust,8,8,9
300,Quite interested,Yes,1954,Complete trust,Complete trust,9,Complete trust,NA
45,Hardly interested,Yes,1954,8,6,6,5,5
30,Hardly interested,Yes,1945,3,4,No trust at all,3,NA
30,Quite interested,No,1998,8,8,4,4,NA
20,Hardly interested,Yes,1956,8,8,6,5,5
90,Quite interested,Yes,1954,9,7,7,7,NA
30,Hardly interested,No,1982,8,6,3,3,NA
120,Very interested,Yes,1948,9,8,6,6,NA
180,Very interested,Yes,1957,8,7,6,5,6
60,Hardly interested,Yes,1952,5,5,1,1,2
120,Quite interested,Yes,1953,9,6,3,3,5
30,Quite interested,Yes,1979,8,8,7,7,6
180,Quite interested,Not eligible to vote,2002,3,3,2,3,3
120,Hardly interested,Yes,1988,9,9,6,6,6
60,Quite interested,Yes,1972,8,5,2,8,NA
120,Quite interested,Yes,1944,5,6,5,5,5
15,Very interested,No,1963,8,9,5,4,5
15,Hardly interested,Yes,1961,3,3,3,3,1
5,Hardly interested,Not eligible to vote,2002,8,8,7,7,NA
45,Hardly interested,Yes,1966,7,Complete trust,8,Complete trust,NA
40,Hardly interested,Yes,1965,Complete trust,Complete trust,9,8,8
120,Hardly interested,No,1979,3,2,2,2,NA
120,Quite interested,Yes,1974,9,9,7,7,NA
120,Quite interested,Yes,1964,8,8,7,7,5
15,Quite interested,Yes,1960,5,7,No trust at all,1,3
60,Hardly interested,Yes,1969,9,9,3,3,7
60,Hardly interested,No,1993,Complete trust,Complete trust,8,8,NA
120,Hardly interested,Yes,1957,2,1,1,2,NA
60,Quite interested,Yes,1960,5,7,4,3,5
60,Quite interested,Yes,1942,5,7,2,2,3
120,Quite interested,Yes,1952,9,8,6,5,5
10,Quite interested,Yes,1995,9,Complete trust,4,4,6
90,Quite interested,Yes,1987,7,9,6,8,NA
5,Quite interested,Yes,1989,Complete trust,9,3,3,7
60,Quite interested,Yes,1953,9,8,6,7,5
120,Hardly interested,Yes,1965,9,9,5,4,7
60,Not at all interested,No,1971,Complete trust,Complete trust,5,5,5
120,Quite interested,No,1961,8,8,5,5,8
45,Very interested,Yes,1963,Complete trust,7,7,8,7
120,Quite interested,Yes,1964,7,8,6,6,5
45,Quite interested,Yes,1972,9,7,5,7,8
60,Not at all interested,Yes,1979,8,6,4,5,5
10,Not at all interested,Yes,1991,6,7,2,2,NA
150,Very interested,Yes,1978,8,7,7,7,6
60,Quite interested,Not eligible to vote,2000,8,8,4,4,4
150,Hardly interested,Yes,1947,4,6,4,4,4
75,Very interested,Yes,1950,9,9,5,8,5
240,Hardly interested,Yes,1962,4,Complete trust,No trust at all,No trust at all,4
NA,Hardly interested,No,NA,NA,5,3,4,5
5,Hardly interested,Yes,1967,5,7,3,5,5
120,Quite interested,Not eligible to vote,1977,9,9,8,7,6
120,Quite interested,Yes,1957,9,7,7,7,7
60,Hardly interested,Yes,1991,Complete trust,Complete trust,5,7,8
180,Very interested,Yes,1965,Complete trust,Complete trust,7,5,Complete trust
5,Hardly interested,No,2000,Complete trust,Complete trust,8,8,8
120,Very interested,Yes,1961,9,9,8,8,7
90,Quite interested,Not eligible to vote,2003,6,6,6,7,9
120,Quite interested,Yes,1959,Complete trust,9,3,3,6
60,Hardly interested,Yes,1966,9,9,5,7,NA
60,Very interested,Yes,1967,8,7,5,6,7
120,Quite interested,Yes,1965,Complete trust,Complete trust,8,8,8
60,Quite interested,Not eligible to vote,1966,8,6,6,6,6
20,Not at all interested,Not eligible to vote,2000,NA,Complete trust,7,NA,NA
120,Hardly interested,Yes,1992,7,8,No trust at all,2,5
30,Not at all interested,No,1946,No trust at all,2,2,2,5
60,Very interested,Yes,1963,7,9,5,6,6
30,Quite interested,Yes,1985,7,7,3,3,3
45,Hardly interested,Not eligible to vote,1999,5,4,2,5,2
150,Hardly interested,Yes,1994,9,Complete trust,6,4,NA
60,Hardly interested,Yes,1971,7,9,6,5,7
30,Quite interested,Yes,1945,8,5,No trust at all,No trust at all,NA
10,Hardly interested,No,1998,7,8,5,6,8
60,Quite interested,Yes,1990,7,3,3,3,9
150,Very interested,Yes,1949,8,8,6,8,8
525,Quite interested,Yes,1983,6,6,5,7,5
90,Quite interested,Yes,1968,9,8,6,6,6
902,Quite interested,Yes,1950,Complete trust,Complete trust,8,8,8
90,Quite interested,Yes,1952,8,Complete trust,5,5,No trust at all
90,Hardly interested,Yes,1985,7,8,5,5,6
10,Hardly interested,Yes,1979,7,7,3,4,2
90,Very interested,Yes,1980,9,7,3,3,3
210,Very interested,Yes,1939,Complete trust,Complete trust,8,8,NA
120,Quite interested,Yes,1939,9,9,7,5,5
60,Quite interested,Yes,1966,7,9,5,5,8
120,Quite interested,Yes,1950,7,8,7,6,6
165,Very interested,Yes,1952,9,9,8,8,7
30,Quite interested,Not eligible to vote,1976,8,8,7,NA,5
150,Quite interested,Yes,1957,8,7,6,7,5
60,Hardly interested,Yes,1956,8,7,5,5,5
45,Quite interested,Not eligible to vote,2002,3,5,No trust at all,2,NA
60,Not at all interested,Not eligible to vote,2001,5,3,NA,5,NA
20,Hardly interested,Not eligible to vote,2003,NA,Complete trust,9,Complete trust,9
180,Hardly interested,Yes,1997,8,8,6,6,6
15,Hardly interested,Not eligible to vote,1980,8,8,2,3,3
60,Very interested,Yes,1947,8,8,6,8,5
60,Hardly interested,Yes,1999,5,8,2,2,NA
5,Not at all interested,No,1983,Complete trust,Complete trust,6,6,5
60,Hardly interested,Yes,1949,8,9,7,7,7
60,Quite interested,Yes,1951,6,4,4,4,No trust at all
30,Hardly interested,Yes,1973,5,6,4,4,NA
120,Very interested,No,1993,6,4,2,5,5
30,Not at all interested,Yes,1966,6,7,4,4,4
10,Hardly interested,No,NA,8,Complete trust,5,3,3
60,Very interested,Yes,1968,9,7,6,5,5
NA,Hardly interested,Yes,1957,4,6,2,1,1
120,Hardly interested,Yes,1961,9,8,7,8,7
40,Hardly interested,Yes,1970,7,8,6,6,7
60,Quite interested,Yes,1964,5,5,5,4,4
90,Quite interested,Yes,1967,7,4,4,4,5
15,Hardly interested,Yes,1998,Complete trust,8,5,5,NA
60,Quite interested,Yes,1973,9,8,7,7,5
60,Quite interested,Yes,1979,8,Complete trust,7,7,7
120,Quite interested,Yes,1951,8,8,5,5,6
20,Quite interested,Yes,1977,9,9,7,7,5
240,Quite interested,Yes,1948,8,8,4,5,NA
15,Very interested,Yes,1995,6,7,4,4,2
120,Quite interested,Yes,1987,9,8,6,7,7
1074,Hardly interested,No,1989,NA,Complete trust,3,3,5
180,Quite interested,Yes,1945,9,9,7,8,8
120,Quite interested,Yes,1953,3,4,3,2,NA
180,Quite interested,Yes,1948,8,9,5,7,NA
30,Quite interested,Yes,1960,9,9,6,6,6
15,Very interested,Yes,1986,Complete trust,Complete trust,6,6,5
30,Quite interested,Yes,1976,5,7,No trust at all,1,No trust at all
NA,Hardly interested,Yes,1950,3,4,3,3,NA
120,Hardly interested,Yes,1993,7,Complete trust,7,7,7
30,Hardly interested,Yes,1960,9,8,3,2,5
210,Quite interested,Yes,1941,7,8,6,6,7
90,Very interested,Yes,1951,9,8,6,6,4
30,Hardly interested,Yes,1989,9,Complete trust,6,7,8
60,Hardly interested,Yes,1970,9,8,5,5,5
60,Quite interested,No,1964,8,8,7,8,6
120,Hardly interested,Yes,1949,8,8,6,5,3
15,Very interested,Yes,NA,7,8,5,5,2
30,Not at all interested,Yes,1989,Complete trust,Complete trust,Complete trust,8,5
10,Hardly interested,No,2000,7,7,6,5,8
180,Hardly interested,Yes,1965,NA,NA,5,3,NA
120,Not at all interested,No,1993,5,8,3,3,3
90,Hardly interested,Yes,1968,4,8,3,2,NA
60,Hardly interested,No,1974,3,5,2,2,3
60,Hardly interested,Yes,1993,6,Complete trust,7,8,7
30,Quite interested,No,2000,No trust at all,3,6,5,2
60,Hardly interested,Yes,1951,7,7,5,6,NA
0,Not at all interested,Yes,1974,8,8,3,4,NA
180,Quite interested,Yes,1978,4,8,2,2,NA
40,Quite interested,Yes,1970,9,Complete trust,7,7,5
0,Hardly interested,Not eligible to vote,2003,9,8,9,9,NA
60,Hardly interested,Yes,1971,2,8,No trust at all,No trust at all,NA
60,Hardly interested,Yes,1970,7,8,5,5,7
60,Quite interested,Yes,1976,8,7,6,6,6
60,Not at all interested,Yes,1963,Complete trust,Complete trust,7,7,8
45,Very interested,Yes,1993,7,8,7,8,8
120,Very interested,Yes,1970,7,7,6,6,2
270,Quite interested,Yes,1976,9,9,7,7,8
60,Quite interested,Yes,1971,9,9,6,6,5
30,Quite interested,Not eligible to vote,2000,6,5,5,4,NA
120,Hardly interested,Yes,1949,4,4,4,4,5
5,Hardly interested,Yes,1964,8,7,6,6,6
60,Quite interested,Not eligible to vote,1954,5,5,5,6,6
30,Hardly interested,No,NA,7,9,7,7,8
15,Quite interested,Yes,1970,5,1,5,5,5
60,Quite interested,Yes,1979,9,9,5,7,5
270,Quite interested,Yes,NA,7,8,8,8,Complete trust
60,Quite interested,Yes,1947,6,5,5,7,5
150,Quite interested,Yes,1938,9,5,6,NA,8
120,Quite interested,Not eligible to vote,1993,9,9,7,7,7
90,Hardly interested,Yes,1962,8,8,5,5,8
60,Hardly interested,Yes,1991,7,9,4,3,5
30,Hardly interested,Yes,1969,8,9,5,5,7
60,Quite interested,Yes,1996,7,7,5,4,8
45,Quite interested,Yes,1972,Complete trust,Complete trust,8,8,6
30,Hardly interested,Not eligible to vote,NA,8,9,5,5,5
180,Very interested,Yes,1943,Complete trust,9,6,7,7
60,Quite interested,Yes,1988,4,4,2,5,7
60,Quite interested,Yes,1965,9,7,4,4,No trust at all
180,Very interested,Yes,1939,7,7,7,6,7
120,Quite interested,Yes,NA,9,8,8,7,7
120,Hardly interested,Yes,1952,5,7,4,3,4
60,Quite interested,Yes,NA,7,7,7,7,6
90,Quite interested,Yes,1970,9,6,6,6,NA
60,Quite interested,Yes,1964,9,9,5,5,7
841,Quite interested,No,1979,NA,6,4,4,4
NA,Quite interested,Yes,1994,9,9,7,8,9
240,Very interested,Yes,1966,9,9,6,5,7
558,Very interested,Yes,1945,3,3,2,2,2
30,Hardly interested,Yes,1976,7,7,6,5,NA
90,Very interested,Yes,1959,Complete trust,8,9,8,7
90,Quite interested,Yes,1953,7,7,6,7,NA
40,Hardly interested,Yes,1988,9,9,5,5,6
0,Not at all interested,Yes,1999,8,8,4,6,NA
30,Hardly interested,Yes,1980,9,Complete trust,6,5,4
30,Hardly interested,Yes,1990,9,Complete trust,7,7,6
30,Quite interested,Yes,1968,5,4,2,2,1
60,Hardly interested,Yes,1984,8,5,4,6,No trust at all
60,Quite interested,Yes,1947,9,9,6,8,NA
60,Quite interested,Yes,1978,7,7,6,6,6
90,Quite interested,Yes,1995,Complete trust,8,5,4,5
15,Hardly interested,Yes,1967,6,4,2,2,1
120,Quite interested,Yes,NA,9,6,4,4,5
90,Hardly interested,Yes,1944,8,9,6,6,7
15,Hardly interested,Yes,1991,8,8,6,7,NA
15,Hardly interested,No,1998,9,Complete trust,3,4,NA
60,Quite interested,Yes,1973,4,5,4,4,3
150,Hardly interested,Yes,1946,9,Complete trust,8,7,7
30,Hardly interested,Yes,1993,9,7,3,4,2
971,Hardly interested,Yes,1997,Complete trust,Complete trust,7,7,7
30,Not at all interested,Yes,1976,6,7,4,4,5
60,Quite interested,Yes,1970,9,8,7,8,6
30,Hardly interested,Yes,2002,8,Complete trust,5,8,6
150,Quite interested,Yes,1941,9,8,6,6,5
120,Quite interested,Yes,1939,Complete trust,Complete trust,8,8,9
60,Not at all interested,Not eligible to vote,2000,Complete trust,Complete trust,6,7,8
150,Very interested,Yes,1945,Complete trust,8,6,6,5
120,Quite interested,Yes,1970,8,9,7,7,NA
10,Not at all interested,Yes,1995,8,8,1,4,5
10,Hardly interested,Not eligible to vote,1980,8,8,8,8,8
30,Hardly interested,Yes,1955,7,8,6,7,NA
120,Quite interested,Not eligible to vote,1984,Complete trust,Complete trust,6,3,NA
60,Hardly interested,Yes,1982,4,5,5,4,6
120,Very interested,Yes,1972,8,9,5,5,5
60,Very interested,Yes,1974,7,8,9,5,5
10,Hardly interested,Yes,1998,3,6,3,3,5
10,Not at all interested,No,1995,3,2,3,3,4
30,Quite interested,Yes,1985,7,7,5,5,5
60,Hardly interested,Not eligible to vote,2001,NA,Complete trust,Complete trust,NA,NA
20,Not at all interested,Yes,1979,5,6,4,4,4
60,Very interested,Yes,1982,8,7,6,5,4
360,Very interested,Yes,1953,Complete trust,Complete trust,5,5,5
30,Quite interested,Yes,1977,8,8,7,6,NA
90,Very interested,Yes,1947,8,8,7,7,6
60,Very interested,Yes,1968,7,8,4,5,NA
180,Quite interested,Yes,1939,7,8,2,4,5
60,Hardly interested,Yes,1949,6,7,5,6,4
10,Quite interested,Yes,1983,6,9,4,6,8
60,Hardly interested,Yes,1990,9,9,5,5,6
20,Quite interested,Yes,1970,Complete trust,Complete trust,7,5,7
30,Not at all interested,No,1969,5,5,4,4,4
15,Quite interested,Not eligible to vote,2001,8,8,7,7,9
30,Hardly interested,Yes,1995,Complete trust,6,3,3,NA
60,Hardly interested,Yes,1980,Complete trust,Complete trust,6,6,Complete trust
180,Very interested,Yes,1944,9,9,4,5,2
10,Hardly interested,Yes,1984,7,7,1,1,1
210,Very interested,Yes,1952,9,8,8,7,NA
90,Quite interested,Yes,1991,8,8,7,7,7
60,Quite interested,Yes,1978,7,8,6,5,6
300,Very interested,Yes,1962,2,6,5,5,4
30,Very interested,Yes,1974,9,9,6,6,6
45,Hardly interested,Yes,1981,2,4,1,1,NA
30,Hardly interested,Yes,1970,7,7,6,5,5
150,Quite interested,Yes,1964,9,9,8,7,9
60,Hardly interested,Yes,1964,8,Complete trust,7,7,NA
270,Quite interested,Yes,1928,8,9,6,5,2
608,Quite interested,Yes,1956,5,6,4,4,3
270,Very interested,Yes,1935,8,Complete trust,9,8,NA
15,Hardly interested,Yes,1980,5,7,4,4,5
90,Hardly interested,Yes,1972,Complete trust,8,7,8,8
2,Hardly interested,Not eligible to vote,2002,Complete trust,Complete trust,9,9,NA
120,Hardly interested,Yes,NA,7,4,5,4,3
30,Hardly interested,Yes,1969,8,8,5,5,NA
0,Not at all interested,No,1999,6,7,3,4,5
60,Quite interested,Yes,1974,9,8,4,6,6
60,Hardly interested,Yes,1961,7,8,3,3,4
30,Quite interested,Yes,1995,9,9,7,7,7
NA,Quite interested,Yes,1986,9,Complete trust,8,8,7
30,Quite interested,Yes,1965,9,6,6,6,7
120,Hardly interested,Yes,1999,9,8,6,6,8
180,Very interested,Yes,1929,Complete trust,8,4,7,8
60,Hardly interested,Yes,1958,7,9,5,5,NA
NA,Hardly interested,Yes,1990,8,Complete trust,6,6,6
60,Quite interested,Yes,1958,8,9,6,6,5
30,Hardly interested,Not eligible to vote,1967,8,8,7,6,6
60,Quite interested,Yes,1971,No trust at all,6,6,7,8
60,Quite interested,Yes,1952,8,8,7,6,7
30,Hardly interested,No,1964,9,9,6,6,8
120,Quite interested,Yes,1975,8,9,7,7,5
30,Hardly interested,Yes,1989,9,9,5,3,8
60,Quite interested,Yes,1971,8,8,7,7,6
30,Quite interested,Yes,1954,4,9,4,8,4
947,Hardly interested,Not eligible to vote,2003,9,Complete trust,9,8,8
20,Quite interested,No,2002,6,5,4,4,4
30,Hardly interested,Yes,1971,Complete trust,9,6,6,5
120,Very interested,Yes,1966,9,7,6,5,6
75,Very interested,Yes,1973,9,9,7,8,6
330,Quite interested,Yes,1947,8,6,1,2,1
10,Hardly interested,Yes,1973,9,9,8,8,8
10,Hardly interested,Yes,1990,Complete trust,Complete trust,9,8,8
120,Quite interested,Yes,1941,8,5,4,4,5
30,Not at all interested,Yes,1979,9,8,5,5,NA
60,Hardly interested,Yes,1995,8,Complete trust,6,6,8
0,Hardly interested,Not eligible to vote,2003,Complete trust,9,8,8,4
120,Quite interested,Yes,1964,6,7,5,3,4
120,Hardly interested,Yes,1944,8,8,5,5,6
120,Quite interested,Yes,1943,8,8,6,6,6
20,Quite interested,Yes,1965,9,8,2,2,4
30,Hardly interested,Yes,1977,Complete trust,Complete trust,6,6,8
866,Quite interested,Yes,1954,5,5,2,2,2
30,Hardly interested,Yes,1982,8,5,5,5,NA
30,Hardly interested,No,1956,4,4,4,4,4
60,Hardly interested,Yes,1990,7,6,4,6,5
120,Hardly interested,Yes,1972,Complete trust,Complete trust,3,3,2
60,Quite interested,Yes,1990,6,6,4,4,4
60,Quite interested,Yes,1967,9,8,5,7,3
30,Hardly interested,Not eligible to vote,2001,5,8,5,3,6
60,Very interested,Yes,1954,7,7,5,5,2
15,Not at all interested,Not eligible to vote,2000,NA,Complete trust,5,7,NA
90,Very interested,Yes,1975,9,7,7,8,7
20,Hardly interested,Not eligible to vote,2002,4,8,5,6,7
60,Hardly interested,Yes,1987,8,8,2,6,NA
120,Quite interested,Yes,1949,8,9,5,4,4
30,Quite interested,Yes,1960,6,6,6,6,6
60,Quite interested,Yes,1975,Complete trust,Complete trust,8,8,8
15,Not at all interested,Not eligible to vote,1999,6,7,6,3,7
45,Quite interested,Yes,1981,9,Complete trust,6,5,5
120,Very interested,Yes,1994,5,6,4,3,3
20,Hardly interested,Yes,1970,7,9,3,4,6
600,Very interested,Yes,1970,9,8,6,4,4
60,Quite interested,Yes,1996,7,7,5,5,NA
5,Quite interested,Not eligible to vote,2000,Complete trust,Complete trust,9,7,9
60,Hardly interested,Yes,1977,8,9,5,6,NA
15,Hardly interested,Not eligible to vote,2002,9,9,6,6,6
150,Quite interested,Yes,1972,7,1,4,4,6
30,Quite interested,Yes,1968,8,9,4,4,3
180,Very interested,Yes,1999,9,9,5,5,3
15,Hardly interested,Not eligible to vote,2000,9,Complete trust,5,4,7
30,Hardly interested,Yes,1981,8,7,4,4,NA
540,Quite interested,Yes,1954,8,8,8,5,NA
240,Quite interested,Yes,1977,8,9,5,5,6
30,Quite interested,Yes,1974,7,8,5,5,8
30,Hardly interested,No,1945,6,8,4,4,NA
20,Not at all interested,Yes,1990,6,7,5,5,5
16,Not at all interested,Not eligible to vote,1985,5,4,5,5,7
90,Hardly interested,Yes,1963,8,8,7,6,7
45,Very interested,Yes,1957,6,4,7,7,3
20,Hardly interested,Yes,1963,7,7,5,5,NA
30,Quite interested,Yes,1963,5,7,3,3,4
20,Hardly interested,Yes,1968,8,9,5,5,5
30,Hardly interested,Yes,1998,8,8,5,5,4
150,Very interested,Yes,1946,Complete trust,Complete trust,5,5,5
60,Not at all interested,Yes,1988,8,9,6,6,NA
10,Hardly interested,Yes,1988,7,6,8,8,NA
180,Very interested,Yes,1947,9,9,8,8,6
60,Hardly interested,Yes,1957,8,6,4,4,3
60,Hardly interested,Not eligible to vote,1980,5,9,5,3,5
60,Quite interested,Yes,1960,8,9,6,6,5
30,Hardly interested,No,1959,8,7,7,6,5
40,Quite interested,Yes,1960,8,6,7,7,4
120,Hardly interested,Yes,1977,8,8,3,5,NA
3,Hardly interested,Not eligible to vote,2000,7,8,5,5,7
30,Quite interested,Yes,1972,Complete trust,Complete trust,8,7,Complete trust
90,Quite interested,Yes,1952,Complete trust,9,6,8,8
120,Hardly interested,No,1982,6,7,3,2,No trust at all
120,Very interested,No,1977,Complete trust,Complete trust,8,8,Complete trust
140,Very interested,Yes,1953,Complete trust,Complete trust,4,5,7
330,Quite interested,Yes,1953,9,8,5,5,5
120,Very interested,Yes,1952,7,7,2,4,3
60,Hardly interested,Yes,1987,6,5,6,6,6
90,Hardly interested,Not eligible to vote,2002,Complete trust,8,7,7,9
15,Quite interested,Yes,1968,5,5,1,3,No trust at all
45,Quite interested,Yes,1972,7,7,6,5,5
60,Quite interested,Yes,1967,7,6,5,5,5
NA,Quite interested,Yes,1970,7,4,No trust at all,4,2
30,Hardly interested,Yes,1976,8,9,6,6,5
NA,Hardly interested,Yes,1964,6,Complete trust,5,7,NA
120,Quite interested,Yes,1994,5,4,3,3,5
30,Quite interested,Yes,1998,8,9,6,4,9
120,Quite interested,Yes,1928,8,8,2,2,5
120,Hardly interested,Yes,1937,3,2,2,5,3
60,Quite interested,Yes,1946,7,8,8,7,7
15,Very interested,Yes,1992,9,8,6,6,7
210,Quite interested,Yes,1932,7,7,5,5,4
150,Quite interested,Yes,1938,7,8,6,3,No trust at all
45,Quite interested,Yes,1965,8,Complete trust,5,5,5
30,Hardly interested,Yes,1961,8,8,5,5,5
120,Quite interested,Yes,1952,Complete trust,Complete trust,7,7,Complete trust
150,Hardly interested,Yes,1992,9,Complete trust,5,NA,NA
150,Quite interested,Yes,1964,4,6,4,4,2
270,Very interested,Yes,1946,6,9,8,8,5
120,Hardly interested,Yes,1939,8,Complete trust,6,9,6
60,Quite interested,Yes,1962,5,4,6,6,NA
120,Hardly interested,Yes,1963,6,7,5,5,NA
120,Quite interested,Yes,1947,Complete trust,Complete trust,6,6,7
120,Hardly interested,Yes,1943,6,5,3,4,5
240,Quite interested,Yes,1947,5,5,5,5,5
60,Hardly interested,Yes,1944,7,6,6,6,7
120,Quite interested,Yes,NA,9,9,6,3,5
60,Quite interested,Yes,1978,6,6,3,3,2
10,Hardly interested,Yes,1952,5,Complete trust,2,2,2
600,Hardly interested,No,1961,8,8,2,2,7
150,Very interested,Yes,1938,5,8,8,8,5
60,Quite interested,Yes,1953,7,7,7,8,7
240,Quite interested,Yes,1941,5,5,4,6,3
30,Hardly interested,Yes,1981,9,Complete trust,7,7,8
30,Hardly interested,Not eligible to vote,2003,NA,8,NA,NA,NA
60,Hardly interested,Yes,1968,7,8,5,5,NA
120,Very interested,Yes,1950,7,5,8,8,7
790,Quite interested,Yes,1997,7,8,4,5,5
60,Quite interested,Yes,1968,9,9,6,4,NA
180,Hardly interested,Yes,1982,7,7,5,5,5
90,Very interested,Yes,1992,8,9,7,6,5
180,Quite interested,Yes,1943,9,9,4,5,3
10,Hardly interested,Yes,1965,5,5,3,3,3
678,Quite interested,Yes,1978,9,Complete trust,8,8,8
60,Hardly interested,Yes,1967,7,7,5,5,5
90,Quite interested,Yes,1954,9,8,5,5,4
30,Hardly interested,Yes,1976,Complete trust,Complete trust,6,4,5
90,Quite interested,Yes,1965,6,6,7,7,7
62,Very interested,Yes,1972,8,8,3,4,NA
120,Hardly interested,Yes,1953,8,Complete trust,7,5,8
50,Hardly interested,Yes,1992,8,8,7,7,8
60,Hardly interested,Yes,1954,8,6,6,5,4
120,Quite interested,Yes,1958,9,9,9,9,9
60,Quite interested,Yes,1958,Complete trust,Complete trust,6,6,7
90,Very interested,Yes,1986,8,8,6,7,7
15,Hardly interested,Yes,1943,9,8,5,5,7
20,Very interested,Not eligible to vote,1977,9,Complete trust,9,9,5
NA,Hardly interested,No,1969,8,9,5,4,NA
60,Hardly interested,Yes,1979,8,8,6,6,7
60,Hardly interested,Yes,1983,Complete trust,Complete trust,9,9,NA
60,Hardly interested,No,1980,7,7,3,4,5
480,Quite interested,Yes,1969,8,8,5,5,5
888,Quite interested,No,2002,8,6,6,6,7
180,Very interested,Yes,1960,8,8,4,4,4
120,Hardly interested,Yes,1959,9,9,4,5,2
60,Not at all interested,Yes,1981,6,6,4,4,4
60,Quite interested,Yes,1978,9,9,6,6,6
60,Very interested,Yes,1969,9,9,7,7,7
120,Very interested,Yes,1946,6,6,5,4,5
20,Quite interested,Yes,1981,5,5,4,6,5
120,Very interested,Yes,1960,9,8,6,6,6
606,Quite interested,Yes,1993,9,9,4,4,5
60,Not at all interested,Not eligible to vote,2002,NA,Complete trust,NA,NA,NA
60,Not at all interested,No,1971,6,5,3,2,NA
390,Very interested,Yes,NA,6,2,NA,5,1
90,Very interested,No,1970,9,7,6,6,6
60,Hardly interested,Yes,1987,7,9,5,4,7
60,Hardly interested,Yes,1987,9,8,8,8,9
90,Quite interested,Yes,1986,8,9,5,7,8
150,Hardly interested,Yes,1989,7,9,6,7,5
120,Hardly interested,Yes,1937,8,Complete trust,3,5,3
